Country,Code,Continent_region,Year,High_body_mass_index,Population,Total_death_rate,Death_rate_per_100k_people
Sao Tome and Principe,STP,Africa,2019,98,214599,883,411.4651047
Saudi Arabia,SAU,Asia,2019,28039,35827362,154143,430.2382073
Senegal,SEN,Africa,2019,5265,16000781,67119,419.4732745
Serbia,SRB,Europe,2019,19161,6945235,168706,2429.089872
Seychelles,SYC,Africa,2019,88,97625,740,758.0025608
Sierra Leone,SLE,Africa,2019,2064,8046828,41403,514.5257237
Singapore,SGP,Asia,2019,1777,5703569,16423,287.9425146
Slovenia,SVN,Europe,2019,2605,2088385,18849,902.5634641
Solomon Islands,SLB,Oceania,2019,970,674993,8419,1247.272194
Somalia,SOM,Africa,2019,2017,15981300,109541,685.4323491
South Africa,ZAF,Africa,2019,55365,58087055,346018,595.6886608
South Sudan,SSD,Africa,2019,2434,10447666,39825,381.185616
Spain,ESP,Europe,2019,42038,47134837,319980,678.8609452
Sri Lanka,LKA,Asia,2019,15936,21803000,147936,678.5121314
Sudan,SDN,Africa,2019,24442,43232093,220694,510.4865036
Suriname,SUR,South America,2019,657,600301,4240,706.3123333
Sweden,SWE,Europe,2019,8795,10278887,73216,712.2950179
Switzerland,CHE,Europe,2019,6129,8575280,53783,627.1865175
Tajikistan,TJK,Asia,2019,4665,9337003,58568,627.2676575
Tanzania,TZA,Africa,2019,17605,59872579,243035,405.9203797
Thailand,THA,Asia,2019,43873,71307763,430315,603.4616455
Togo,TGO,Africa,2019,2618,8243094,37193,451.2019395
Tonga,TON,Oceania,2019,116,104951,735,700.3268192
Trinidad and Tobago,TTO,North America,2019,2611,1519955,14279,939.435707
Tunisia,TUN,Africa,2019,12000,12049314,85516,709.7167523
Turkmenistan,TKM,Asia,2019,6872,6158420,46117,748.8446712
Tuvalu,TUV,Oceania,2019,19,10956,124,1131.799927
Uganda,UGA,Africa,2019,8393,42949080,136163,317.0335663
Ukraine,UKR,Europe,2019,116655,44386203,856572,1929.815893
United Arab Emirates,ARE,Asia,2019,7623,9211657,34788,377.6519252
United Kingdom,GBR,Europe,2019,56216,66836327,481831,720.9118478
United States,USA,North America,2019,393859,328329953,2549358,776.4622072
Uruguay,URY,South America,2019,3222,3428409,25129,732.9638908
Uzbekistan,UZB,Asia,2019,39317,33580350,290223,864.2643689
Vanuatu,VUT,Oceania,2019,333,304404,2975,977.3196147
Vietnam,VNM,Asia,2019,37981,95776716,706638,737.7972742
Zambia,ZMB,Africa,2019,6074,18380477,72280,393.243331
Zimbabwe,ZWE,Africa,2019,6475,15354608,81732,532.2962332
