Country,Code,Continent_Region,Year,Population,Total_Death_Rate
Mali,MLI,Africa,2019,20567424,102732
Malta,MLT,Europe,2019,504062,3614
Marshall Islands,MHL,Oceania,2019,44728,493
Mauritania,MRT,Africa,2019,4383849,15573
Mauritius,MUS,Africa,2019,1265985,13563
Mexico,MEX,North America,2019,125085311,691863
Moldova,MDA,Europe,2019,2664224,49878
Monaco,MCO,Europe,2019,37034,385
Mongolia,MNG,Asia,2019,3232430,30623
Montenegro,MNE,Europe,2019,622028,10287
Morocco,MAR,Africa,2019,36304408,303235
Mozambique,MOZ,Africa,2019,30285595,131532
Myanmar,MMR,Asia,2019,53040212,488029
Namibia,NAM,Africa,2019,2446644,13500
Nauru,NRU,Oceania,2019,12132,78
Nepal,NPL,Asia,2019,28832496,205541
Netherlands,NLD,Europe,2019,17344874,114041
New Zealand,NZL,Oceania,2019,4979200,24383
Nicaragua,NIC,North America,2019,6663924,30201
Niger,NER,Africa,2019,23443393,118426
Nigeria,NGA,Africa,2019,203304492,912981
North Macedonia,MKD,Europe,2019,2076694,37970
Northern Mariana Islands,MNP,Oceania,2019,49858,413
Norway,NOR,Europe,2019,5347896,26992
Oman,OMN,Asia,2019,4602768,14256
Pakistan,PAK,Asia,2019,223293280,1375527
Palau,PLW,Oceania,2019,17916,237
Panama,PAN,North America,2019,4232532,15185
Papua New Guinea,PNG,Oceania,2019,9542486,66942
Paraguay,PRY,South America,2019,6530026,32784
Peru,PER,South America,2019,32824861,95593
Philippines,PHL,Asia,2019,110380804,661704
Poland,POL,Europe,2019,37965475,460603
Portugal,PRT,Europe,2019,10286263,85563
Puerto Rico,PRI,North America,2019,3193694,28480
Qatar,QAT,Asia,2019,2807235,4788
Romania,ROU,Europe,2019,19371648,324945
Rwanda,RWA,Africa,2019,12835028,51184
Samoa,WSM,Oceania,2019,211905,1861
San Marino,SMR,Europe,2019,34178,215
Sao Tome and Principe,STP,Africa,2019,214599,883
Saudi Arabia,SAU,Asia,2019,35827362,154143
Senegal,SEN,Africa,2019,16000781,67119
Serbia,SRB,Europe,2019,6945235,168706
Seychelles,SYC,Africa,2019,97625,740
Sierra Leone,SLE,Africa,2019,8046828,41403
Singapore,SGP,Asia,2019,5703569,16423
Slovenia,SVN,Europe,2019,2088385,18849
Solomon Islands,SLB,Oceania,2019,674993,8419
Somalia,SOM,Africa,2019,15981300,109541
South Africa,ZAF,Africa,2019,58087055,346018
South Sudan,SSD,Africa,2019,10447666,39825
Spain,ESP,Europe,2019,47134837,319980
Sri Lanka,LKA,Asia,2019,21803000,147936
Sudan,SDN,Africa,2019,43232093,220694
Suriname,SUR,South America,2019,600301,4240
Sweden,SWE,Europe,2019,10278887,73216
Switzerland,CHE,Europe,2019,8575280,53783
Tajikistan,TJK,Asia,2019,9337003,58568
Tanzania,TZA,Africa,2019,59872579,243035
Thailand,THA,Asia,2019,71307763,430315
Togo,TGO,Africa,2019,8243094,37193
Tonga,TON,Oceania,2019,104951,735
Trinidad and Tobago,TTO,North America,2019,1519955,14279
Tunisia,TUN,Africa,2019,12049314,85516
Turkmenistan,TKM,Asia,2019,6158420,46117
Tuvalu,TUV,Oceania,2019,10956,124
Uganda,UGA,Africa,2019,42949080,136163
Ukraine,UKR,Europe,2019,44386203,856572
United Arab Emirates,ARE,Asia,2019,9211657,34788
United Kingdom,GBR,Europe,2019,66836327,481831
United States,USA,North America,2019,328329953,2549358
Uruguay,URY,South America,2019,3428409,25129
Uzbekistan,UZB,Asia,2019,33580350,290223
Vanuatu,VUT,Oceania,2019,304404,2975
Vietnam,VNM,Asia,2019,95776716,706638
Zambia,ZMB,Africa,2019,18380477,72280
Zimbabwe,ZWE,Africa,2019,15354608,81732
Zimbabwe,ZWE,2019,15354608,81732,532.2962332
